Route Number,Route Name_x,Schedule Period Name,Day Type,Time Period,Averge Early Stop count,Averge Late Stop count,Averge On-Time Stop count,Route Name_y,Average Boardings,Average Alightings,Average Pass-Up,Average Wheelchair Pass-Up
18,North Main-Corydon,Spring 2023,Weekday,Mid-Day,155.01875,357.2375,608.99375,North Main-Corydon,20.00336538,19.47836538,11,20
18,North Main-Corydon,Spring 2023,Weekday,Morning,136,71.60344828,376.9597701,North Main-Corydon,8.268269231,7.673076923,0,0
18,North Main-Corydon,Spring 2023,Weekday,Night,26.86428571,25.35,72.92857143,North Main-Corydon,1.90625,2.067307692,0,0
18,North Main-Corydon,Spring 2023,Weekday,PM Peak,91.48484848,271.1515152,245.0454545,North Main-Corydon,11.7,12.22774869,38,5
18,North Main-Corydon,Summer 2022,Weekday,Evening,39.5952381,87.03174603,171.8095238,North Main-Corydon,5.740384615,5.931730769,0,7
18,North Main-Corydon,Summer 2022,Weekday,Mid-Day,111.5125,234.09375,532.45625,North Main-Corydon,15.89086538,15.48173077,18,9
18,North Main-Corydon,Summer 2022,Weekday,Morning,107.1575758,53.53333333,361.6242424,North Main-Corydon,5.827403846,5.390865385,1,0
18,North Main-Corydon,Summer 2022,Weekday,Night,21.71014493,18.26811594,78.80434783,North Main-Corydon,1.672596154,1.858173077,0,1
18,North Main-Corydon,Summer 2022,Weekday,PM Peak,79.9765625,187.0546875,255.421875,North Main-Corydon,8.944502618,9.362827225,15,3
18,North Main-Corydon,Summer 2023,Weekday,Evening,65.76190476,90.38095238,161.3968254,North Main-Corydon,7.010576923,7.241346154,3,9
18,North Main-Corydon,Summer 2023,Weekday,Mid-Day,184.8125,277.3375,597.2625,North Main-Corydon,19.37451923,19.00913462,60,25
18,North Main-Corydon,Summer 2023,Weekday,Morning,177.9634146,39.75609756,411.7317073,North Main-Corydon,7.303846154,6.745673077,1,3
18,North Main-Corydon,Summer 2023,Weekday,Night,17.84931507,19.69863014,56.09589041,North Main-Corydon,1.922596154,2.145673077,1,0
18,North Main-Corydon,Summer 2023,Weekday,PM Peak,167.4444444,155.8412698,298.5238095,North Main-Corydon,11.38481675,11.86282723,33,7
